Algorithm,Scenario,Accuracy,Recall,Precision,F1,ROC_AUC,Threshold
Tabular Transformer (DL),GAN Scaled (t=0.50),0.816,0.3275968039336202,0.6507936507936508,0.4358135731807032,0.7562138612932977,0.5
Tabular Transformer (DL),GAN Scaled (Opt. Thresh),0.7836,0.5371850030731408,0.5011467889908257,0.5185404924354791,0.7562138612932977,0.23
MLP Classifier,GAN Scaled (t=0.50),0.8069333333333333,0.2544560540872772,0.637904468412943,0.36379613356766255,0.7590711025244337,0.5
MLP Classifier,GAN Scaled (Opt. Thresh),0.7754666666666666,0.551321450522434,0.4846029173419773,0.515813686026452,0.7590711025244337,0.25
Gradient Boosting,GAN Scaled (t=0.50),0.8045333333333333,0.1800860479409957,0.6894117647058824,0.2855750487329435,0.7491764579313562,0.5
Gradient Boosting,GAN Scaled (Opt. Thresh),0.7870666666666667,0.49846342962507684,0.5094221105527639,0.503883193538366,0.7491764579313562,0.25
Random Forest,GAN Scaled (t=0.50),0.8088,0.3073140749846343,0.6195786864931846,0.4108463434675431,0.7494356838682664,0.5
Random Forest,GAN Scaled (Opt. Thresh),0.7686666666666667,0.5556238475722188,0.4718162839248434,0.5103020039514535,0.7494356838682664,0.28
XGBoost,GAN Scaled (t=0.50),0.8074666666666667,0.26306084818684694,0.6359583952451708,0.37217391304347824,0.7584950913993814,0.5
XGBoost,GAN Scaled (Opt. Thresh),0.7848,0.5611555009219422,0.5035852178709321,0.5308139534883721,0.7584950913993814,0.27
Hist Gradient Boosting,GAN Scaled (t=0.50),0.8118666666666666,0.2636754763368162,0.6682242990654206,0.378140149845747,0.7620717709443203,0.5
Hist Gradient Boosting,GAN Scaled (Opt. Thresh),0.7862666666666667,0.5574677320221266,0.5067039106145251,0.5308750365817969,0.7620717709443203,0.25
