Algorithm,Paper F1,Leaky F1 (Replicated),Corrected F1 (Honest),F1 Inflation Gap,Paper Recall,Leaky Recall,Corrected Recall,Paper Accuracy,Leaky Accuracy,Corrected Accuracy
Decision Tree,0.8,0.8848,0.3894,0.4954,0.81,0.9599,0.4745,0.81,0.8745,0.6772
Random Forest,0.8,0.9323,0.4855,0.4467,0.82,0.9673,0.48,0.82,0.9295,0.7793
KNN,0.71,0.766,0.4424,0.3236,0.75,0.8282,0.606,0.75,0.746,0.6685
Gaussian Naive Bayes,0.39,0.6791,0.389,0.2902,0.39,0.8054,0.906,0.39,0.618,0.3825
LightGBM,0.78,0.7498,0.4925,0.2573,0.79,0.7174,0.5028,0.79,0.7597,0.7752
MLP Classifier,0.73,0.7403,0.4954,0.2448,0.74,0.7561,0.5802,0.74,0.7337,0.7436
Logistic Regression,0.68,0.6576,0.4653,0.1923,0.78,0.635,0.6663,0.78,0.6681,0.6679
Gradient Boosting,0.8,0.7012,0.5105,0.1906,0.82,0.6461,0.5593,0.82,0.7236,0.7673
LDA,0.78,0.654,0.4684,0.1856,0.81,0.622,0.6509,0.81,0.6697,0.6795
AdaBoost,0.79,0.6607,0.5005,0.1602,0.82,0.5775,0.5839,0.82,0.7023,0.7472
