Algorithm,Scenario,Accuracy,Recall,Precision,F1,ROC_AUC,Threshold
Logistic Regression,Leaky,0.6681218969354562,0.6349991471942692,0.6818681318681319,0.6575995760840767,0.7188899942746677,0.5
Logistic Regression,Leaky (Opt. Thresh),0.5685670261941448,0.8843595428961283,0.5431025453021892,0.672939649578196,0.7188899942746677,0.32
Ridge Classifier,Leaky,0.6678650915939052,0.6312468019785092,0.6829673371470751,0.656089345860663,0.7173684270536885,0.5
Ridge Classifier,Leaky (Opt. Thresh),0.5533299092621127,0.910967081698789,0.5321311148749627,0.6718238993710692,0.7173684270536885,0.29
Decision Tree,Leaky,0.874507789762027,0.959918130649838,0.8205277737279487,0.884766546140544,0.8742055855946853,0.5
Decision Tree,Leaky (Opt. Thresh),0.874507789762027,0.959918130649838,0.8205277737279487,0.884766546140544,0.8742055855946853,0.5
Extra Tree,Leaky,0.8789590823489128,0.9643527204502814,0.8243184137629392,0.8888539537808521,0.8787733649205112,0.5
Extra Tree,Leaky (Opt. Thresh),0.8789590823489128,0.9643527204502814,0.8243184137629392,0.8888539537808521,0.8787733649205112,0.5
KNN,Leaky,0.7460195172059579,0.8282449258059014,0.7124413145539906,0.7659910087546337,0.8267048779520539,0.5
KNN,Leaky (Opt. Thresh),0.7254750898818696,0.9365512536244244,0.659500360317079,0.773979843540771,0.8267048779520539,0.21
Random Forest,Leaky,0.9294641328539633,0.9672522599351867,0.8997302871648422,0.9322702613841855,0.9785052799651738,0.5
Random Forest,Leaky (Opt. Thresh),0.9493237459339154,0.9583830803342999,0.9416792357968828,0.9499577345731192,0.9785052799651738,0.62
Extra Trees,Leaky,0.9411059750042801,0.9628176701347433,0.9231398201144726,0.9425613624979129,0.983608059689777,0.5
Extra Trees,Leaky (Opt. Thresh),0.9662728984762883,0.9346750810165444,0.9979967219085777,0.9652985731900652,0.983608059689777,0.92
AdaBoost,Leaky,0.7022770073617531,0.5775200409346751,0.7718258490996125,0.6606829268292683,0.7725626470738154,0.5
AdaBoost,Leaky (Opt. Thresh),0.667351480910803,0.8415486952072317,0.625269294132556,0.7174640104696816,0.7725626470738154,0.43
Gradient Boosting,Leaky,0.7235918507104948,0.6460856216953778,0.7664912990692028,0.7011568718186025,0.7967311673484472,0.5
Gradient Boosting,Leaky (Opt. Thresh),0.692175997260743,0.8355790550912502,0.6505112202894702,0.7315215768254443,0.7967311673484472,0.36
Hist Gradient Boosting,Leaky,0.7559493237459339,0.7124339075558588,0.7819168850617746,0.7455600178491745,0.8425689697658311,0.5
Hist Gradient Boosting,Leaky (Opt. Thresh),0.756291730868002,0.858604809824322,0.7138400453771979,0.7795586527293844,0.8425689697658311,0.39
Gaussian Naive Bayes,Leaky,0.6180448553329909,0.8053897322190006,0.587094367773219,0.6791313102258019,0.7363701815267125,0.5
Gaussian Naive Bayes,Leaky (Opt. Thresh),0.6685499058380414,0.7293194610267781,0.6517299192196312,0.6883451384417257,0.7363701815267125,0.63
LDA,Leaky,0.6696627289847629,0.6220365000852806,0.689413988657845,0.6539944409575899,0.7173242259523953,0.5
LDA,Leaky (Opt. Thresh),0.5484506077726417,0.9198362612996759,0.5288291821925868,0.6715646597347612,0.7173242259523953,0.28
QDA,Leaky,0.5673686012669064,0.8911819887429644,0.541956228606991,0.6740196078431373,0.7236441334161586,0.5
QDA,Leaky (Opt. Thresh),0.6655538435199452,0.7397236909432031,0.6455790413813635,0.6894523487799062,0.7236441334161586,0.78
MLP Classifier,Leaky,0.7336928608115049,0.7560975609756098,0.7250572456656853,0.7402521499540786,0.8139177309053953,0.5
MLP Classifier,Leaky (Opt. Thresh),0.7179421331963705,0.8473477741770424,0.6742671009771987,0.7509636459829189,0.8139177309053953,0.4
XGBoost,Leaky,0.8118472864235576,0.8113593723349821,0.8133014190459907,0.8123292349726776,0.8897800546751209,0.5
XGBoost,Leaky (Opt. Thresh),0.8033727101523712,0.9060208084598329,0.7526211391328989,0.8222273817815958,0.8897800546751209,0.39
LightGBM,Leaky,0.7597158020886834,0.7173801807948149,0.7852875280059746,0.7497994473660754,0.8446434611080285,0.5
LightGBM,Leaky (Opt. Thresh),0.7499571991097415,0.8785604639263176,0.6998641304347826,0.7790970279059215,0.8446434611080285,0.37
Logistic Regression,Corrected,0.6678666666666667,0.6662569145666871,0.3575197889182058,0.4653359089933462,0.7286441311383933,0.5
Logistic Regression,Corrected (Opt. Thresh),0.7846666666666666,0.503380454824831,0.503690036900369,0.5035351982785121,0.7286441311383933,0.58
Ridge Classifier,Corrected,0.6757333333333333,0.6539643515673018,0.3627684964200477,0.4666666666666667,0.7240405422248911,0.5
Ridge Classifier,Corrected (Opt. Thresh),0.7782666666666667,0.51259987707437,0.4894366197183099,0.5007505253677574,0.7240405422248911,0.57
Decision Tree,Corrected,0.6772,0.47449293177627533,0.330196749358426,0.3894073139974779,0.6039605369587429,0.5
Decision Tree,Corrected (Opt. Thresh),0.6774666666666667,0.47449293177627533,0.3304794520547945,0.3896038354781731,0.6039605369587429,0.51
Extra Tree,Corrected,0.6682666666666667,0.4695759065765212,0.3197990791125994,0.3804780876494024,0.5967452231839037,0.5
Extra Tree,Corrected (Opt. Thresh),0.6684,0.47019053472649047,0.3200836820083682,0.38088125466766243,0.5967452231839037,0.01
KNN,Corrected,0.6685333333333333,0.6060233558696988,0.3482868244436595,0.44235082996859576,0.6880026427022038,0.5
KNN,Corrected (Opt. Thresh),0.6685333333333333,0.6060233558696988,0.3482868244436595,0.44235082996859576,0.6880026427022038,0.5
